Federal_District,City,Date,PM2.5 (ug/m3),PM10 (ug/m3),NO (ug/m3),NO2 (ug/m3),NOx (ppb),NH3 (ug/m3),CO (mg/m3),SO2 (ug/m3),O3 (ug/m3),Benzene (ug/m3),Toluene (ug/m3),Xylene (ug/m3),AQI,AQI_Bucket,Wind_Speed (km/h),Humidity (%),Deforestation_Rate_%,Industry_Growth_%,CO2_Emission_MT,Population_Density_per_SqKm
Southern,Sochi,2018-07-01,16.22,27.39,11.81,16.95,21.92,3.95,0.67,4.98,59.06,0.73,0.72,0.75,60.0,Moderate,8.6,77.6,0.0,1.01,70.05,34.8
Southern,Sochi,2018-08-01,15.54,13.95,1.0,16.03,19.49,4.22,0.66,10.85,46.3,0.47,1.8,0.49,58.0,Moderate,4.3,73.1,0.044,1.46,71.18,34.9
Southern,Sochi,2018-09-01,20.96,33.38,8.99,20.81,13.65,4.88,0.87,3.07,49.99,0.49,2.11,0.74,70.0,Moderate,4.9,81.9,0.159,2.72,72.18,34.8
Southern,Sochi,2018-10-01,8.36,39.68,17.28,24.98,27.73,2.89,0.99,8.48,70.75,,3.96,0.94,35.0,Good,14.4,88.3,0.0,2.83,72.48,34.9
Southern,Sochi,2018-11-01,18.08,46.56,13.84,23.88,28.92,4.48,0.74,9.61,46.35,0.41,2.6,0.11,64.0,Moderate,17.3,80.0,0.089,3.88,71.76,34.9
Southern,Sochi,2018-12-01,19.4,29.03,13.48,24.17,27.21,10.48,,11.69,104.81,0.7,5.03,0.6,66.0,Moderate,7.2,86.3,0.035,2.39,71.24,34.8
Southern,Sochi,2019-01-01,11.81,52.47,22.32,26.7,15.32,10.49,0.6,6.09,74.64,2.37,3.03,0.49,49.0,Good,7.1,85.5,0.046,-0.87,69.59,35.0
Southern,Sochi,2019-02-01,,35.88,13.01,32.83,41.81,4.68,1.03,4.91,88.6,0.79,3.86,0.7,,,10.6,75.1,0.301,2.61,70.77,34.8
Southern,Sochi,2019-03-01,17.58,29.9,9.18,18.75,12.54,,0.95,9.82,85.83,0.54,2.06,1.04,63.0,Moderate,13.3,70.8,0.058,-4.2,71.4,34.8
Southern,Sochi,2019-04-01,16.79,27.42,12.03,23.45,11.96,6.21,0.31,2.12,,0.37,3.15,0.52,61.0,Moderate,17.7,65.1,0.15,3.69,73.0,34.8
Southern,Sochi,2019-05-01,10.32,10.91,2.33,9.28,19.72,4.63,0.45,7.03,52.05,0.72,1.79,0.35,43.0,Good,15.4,51.5,0.113,4.33,72.59,34.8
Southern,Sochi,2019-06-01,12.81,17.72,8.62,11.7,19.71,3.82,0.23,3.5,29.37,0.55,,0.26,53.0,Moderate,5.7,66.7,0.037,3.65,71.46,34.9
Southern,Sochi,2019-07-01,15.18,15.12,4.76,6.9,14.75,0.5,0.38,9.17,46.53,0.93,0.05,0.72,57.0,Moderate,9.3,63.0,0.153,2.58,72.94,34.8
Southern,Sochi,2019-08-01,10.96,37.4,5.97,21.21,26.86,1.68,0.79,4.05,37.33,0.72,1.91,0.63,46.0,Good,7.7,78.0,0.178,-0.48,71.82,34.9
Southern,Sochi,2019-09-01,7.44,21.6,9.05,15.53,19.27,4.39,0.54,6.94,30.07,0.37,0.8,0.89,31.0,Good,9.5,70.4,0.0,1.35,73.51,34.8
Southern,Sochi,2019-10-01,16.31,20.59,7.53,16.21,27.21,6.78,0.42,5.93,86.43,0.24,0.56,,60.0,Moderate,8.1,82.9,0.0,0.84,72.25,34.9
Southern,Sochi,2019-11-01,21.09,51.34,9.23,28.95,22.69,9.94,0.61,8.51,88.78,1.53,3.19,,70.0,Moderate,17.2,92.3,0.129,1.55,70.56,34.8
Southern,Sochi,2019-12-01,26.19,26.82,,34.49,26.51,7.58,1.34,7.34,119.97,0.84,5.8,1.33,81.0,Moderate,10.8,85.1,0.092,1.07,70.59,34.9
Southern,Sochi,2020-01-01,29.88,47.38,11.36,33.65,47.01,5.91,0.93,13.72,94.54,2.32,3.55,1.4,88.0,Moderate,9.1,81.8,0.128,1.83,72.14,34.8
Southern,Sochi,2020-02-01,26.12,65.24,11.28,35.11,19.26,11.02,0.65,5.33,52.19,0.82,2.37,1.66,80.0,Moderate,9.9,80.3,0.162,4.91,72.92,34.8
Southern,Sochi,2020-03-01,16.89,34.48,7.58,17.25,,4.07,0.48,3.35,82.02,0.32,2.53,0.78,61.0,Moderate,14.6,70.4,0.0,4.19,71.73,34.8
Southern,Sochi,2020-04-01,10.19,23.27,5.99,4.52,,3.75,0.47,4.19,25.07,0.51,2.2,0.58,42.0,Good,16.0,64.5,0.025,2.78,75.66,34.8
Southern,Sochi,2020-05-01,14.68,13.5,6.22,9.33,13.37,0.5,0.63,1.0,34.89,0.42,1.35,0.2,56.0,Moderate,6.5,60.3,0.043,3.12,70.85,34.8
Southern,Sochi,2020-06-01,13.31,18.66,11.44,12.93,8.79,2.71,0.33,5.38,55.84,0.84,0.17,0.22,54.0,Moderate,7.6,72.8,0.0,3.61,75.25,35.0
Southern,Sochi,2020-07-01,17.76,19.74,10.78,10.21,20.33,3.95,0.73,5.74,34.79,1.11,1.57,0.21,63.0,Moderate,4.7,60.1,0.0,0.81,70.12,34.7
Southern,Sochi,2020-08-01,5.76,13.79,10.68,6.47,6.04,3.86,0.53,4.99,31.48,0.17,0.86,0.27,24.0,Good,11.6,73.7,0.196,2.57,72.73,34.8
Southern,Sochi,2020-09-01,6.03,30.18,14.05,5.82,7.6,4.1,,3.87,62.19,0.37,0.67,0.6,25.0,Good,7.0,75.9,0.064,3.45,73.91,34.8
Southern,Sochi,2020-10-01,11.74,18.67,9.14,13.26,10.21,4.55,0.57,8.19,42.14,0.79,3.1,0.39,49.0,Good,8.9,82.8,0.056,3.93,72.54,34.8
Southern,Sochi,2020-11-01,16.78,40.8,13.34,26.75,19.29,3.06,0.8,6.36,68.86,1.01,2.44,0.38,61.0,Moderate,16.3,96.3,0.099,0.86,72.11,34.9
Southern,Sochi,2020-12-01,28.08,59.06,18.93,21.37,36.93,2.89,1.39,4.96,114.45,1.69,5.33,1.31,85.0,Moderate,12.3,82.3,0.0,1.63,72.49,34.8
Southern,Sochi,2021-01-01,15.48,,21.76,28.47,39.26,2.9,0.66,13.94,84.97,1.85,4.28,1.15,58.0,Moderate,5.1,77.2,0.027,2.5,73.02,34.8
Southern,Sochi,2021-02-01,22.05,47.07,15.14,17.32,35.38,6.98,,13.78,93.52,1.1,2.62,0.86,72.0,Moderate,13.3,72.9,0.132,-1.83,72.34,34.8
Southern,Sochi,2021-03-01,21.3,38.33,10.43,22.18,15.21,6.1,0.91,8.85,76.37,,,0.64,70.0,Moderate,5.6,73.2,0.007,2.66,73.47,34.7
Southern,Sochi,2021-04-01,14.04,39.56,7.71,9.91,27.38,4.67,0.67,4.68,49.19,1.28,3.48,0.77,55.0,Moderate,13.8,54.2,0.0,4.06,72.87,34.8
Southern,Sochi,2021-05-01,8.15,28.46,3.28,12.86,20.75,4.23,0.46,1.0,44.85,0.54,2.51,0.62,34.0,Good,15.1,49.3,0.138,-0.13,72.89,34.8
Southern,Sochi,2021-06-01,17.82,29.73,1.03,12.94,17.92,2.52,0.5,2.06,38.95,0.5,1.21,0.79,63.0,Moderate,13.4,60.6,0.045,0.77,70.11,34.7
Southern,Sochi,2021-07-01,10.17,9.41,9.11,14.19,10.86,2.44,0.42,1.45,58.82,0.24,1.53,0.15,42.0,Good,9.7,80.2,0.061,0.35,71.82,34.7
Southern,Sochi,2021-08-01,13.87,19.11,4.47,14.99,10.49,,0.78,1.56,57.99,0.24,,0.74,55.0,Moderate,8.9,71.4,0.0,0.51,73.33,34.9
Southern,Sochi,2021-09-01,9.81,33.84,3.2,8.76,12.12,5.46,0.42,3.8,51.9,0.37,1.0,0.12,41.0,Good,7.3,84.5,0.099,2.41,73.03,34.9
Southern,Sochi,2021-10-01,22.6,29.65,11.37,20.35,15.56,4.19,0.37,1.0,37.66,0.53,3.98,0.52,73.0,Moderate,13.5,76.3,0.043,4.09,71.49,34.8
Southern,Sochi,2021-11-01,10.83,25.67,12.97,22.29,16.07,6.32,0.5,8.67,86.63,1.39,2.0,0.89,45.0,Good,14.9,81.3,0.001,0.61,74.16,34.7
Southern,Sochi,2021-12-01,16.25,44.31,19.81,26.46,43.51,5.13,0.76,9.26,62.8,1.26,2.56,1.08,60.0,Moderate,5.5,90.9,0.107,3.77,70.25,34.7
Southern,Sochi,2022-01-01,33.94,51.24,5.16,31.31,44.83,8.06,,2.86,77.11,1.32,3.78,0.82,97.0,Moderate,12.7,82.8,0.022,3.34,72.61,34.8
Southern,Sochi,2022-02-01,23.93,43.52,11.05,18.01,39.34,9.58,0.73,10.48,100.18,1.43,5.08,0.61,76.0,Moderate,13.5,80.6,0.117,2.91,71.91,34.9
Southern,Sochi,2022-03-01,12.29,29.41,11.6,22.73,31.4,4.62,0.29,3.62,102.89,1.78,2.61,0.5,51.0,Moderate,6.1,73.4,0.047,1.47,70.01,34.7
Southern,Sochi,2022-04-01,14.53,16.78,10.89,13.7,13.41,5.33,0.28,3.13,40.76,0.65,3.69,0.71,56.0,Moderate,3.9,59.0,0.079,1.2,73.46,34.8
Southern,Sochi,2022-05-01,12.9,13.69,6.38,11.35,10.75,4.97,0.61,4.27,55.89,0.96,2.56,0.28,53.0,Moderate,8.4,57.3,0.233,1.27,73.69,34.7
Southern,Sochi,2022-06-01,14.19,11.36,7.49,12.89,8.12,5.0,0.72,7.45,45.25,0.18,,,55.0,Moderate,5.4,73.2,0.0,2.4,72.0,34.8
Southern,Sochi,2022-07-01,13.75,20.08,5.58,9.87,19.53,4.23,,1.0,30.62,0.95,1.21,0.15,54.0,Moderate,4.6,77.6,0.0,1.12,72.36,34.7
Southern,Sochi,2022-08-01,14.37,15.34,10.95,10.14,6.11,3.94,0.5,5.05,55.18,1.04,1.2,0.19,56.0,Moderate,10.5,76.3,0.013,3.1,71.8,34.7
Southern,Sochi,2022-09-01,13.38,21.78,4.55,9.17,23.52,4.79,0.37,4.93,43.69,0.9,2.66,0.34,54.0,Moderate,7.5,76.8,0.01,2.84,72.55,34.8
Southern,Sochi,2022-10-01,18.9,27.1,6.18,11.22,19.22,6.89,0.62,4.66,67.43,1.32,1.89,0.36,65.0,Moderate,13.8,84.0,0.0,1.02,72.08,34.7
Southern,Sochi,2022-11-01,22.93,25.09,11.21,20.82,12.82,5.77,0.94,7.24,83.18,0.26,4.04,0.28,74.0,Moderate,10.0,78.5,0.247,2.2,74.24,34.7
Southern,Sochi,2022-12-01,19.75,36.3,19.49,19.29,10.91,9.31,1.01,6.58,54.4,1.13,2.9,0.65,67.0,Moderate,3.6,95.7,0.135,3.11,68.46,34.7
Southern,Sochi,2023-01-01,16.74,41.74,15.03,34.22,41.91,5.16,1.16,13.6,130.92,0.91,2.72,0.23,61.0,Moderate,5.5,83.7,0.0,1.18,74.77,34.6
Southern,Sochi,2023-02-01,8.83,23.52,19.07,12.6,,4.81,0.78,6.33,51.33,0.76,4.44,0.82,37.0,Good,7.2,83.4,0.094,2.12,74.77,34.7
Southern,Sochi,2023-03-01,14.84,44.86,6.19,25.85,7.73,5.89,0.87,10.39,33.79,1.03,1.41,0.51,57.0,Moderate,10.5,70.8,0.029,4.01,74.04,34.7
Southern,Sochi,2023-04-01,15.14,20.84,3.14,,27.28,1.77,0.69,5.66,63.91,1.11,1.09,0.34,57.0,Moderate,8.1,64.3,0.216,-0.58,72.81,34.7
Southern,Sochi,2023-05-01,14.04,7.75,6.59,18.23,9.1,4.23,0.18,2.29,30.21,0.58,2.66,0.6,55.0,Moderate,12.3,63.3,0.0,1.28,72.0,34.8
Southern,Sochi,2023-06-01,9.1,21.21,5.08,9.67,10.49,4.9,0.66,7.62,49.48,1.16,3.22,0.53,38.0,Good,4.6,74.7,0.0,-0.06,73.6,34.8
Southern,Sochi,2023-07-01,12.04,10.48,9.73,17.34,17.9,1.66,0.48,7.78,59.85,0.62,0.3,0.31,51.0,Moderate,10.3,75.7,0.042,2.21,73.31,34.7
Southern,Sochi,2023-08-01,16.01,15.94,9.78,,9.75,5.11,0.91,5.42,40.7,0.42,1.32,0.07,59.0,Moderate,7.8,80.6,0.092,5.6,73.64,34.7
Southern,Sochi,2023-09-01,20.53,31.54,12.24,16.89,17.82,3.32,0.66,4.07,,1.2,2.85,0.68,69.0,Moderate,4.2,84.3,0.002,1.04,74.06,34.6
Southern,Sochi,2023-10-01,11.33,,5.6,14.72,25.97,5.5,0.46,7.41,75.21,0.55,2.17,0.01,47.0,Good,4.4,89.0,0.167,2.7,72.96,34.8
Southern,Sochi,2023-11-01,16.3,19.62,13.62,26.65,35.05,7.83,0.97,7.28,78.17,1.7,4.88,1.11,60.0,Moderate,14.2,87.8,0.104,-2.43,75.33,34.7
Southern,Sochi,2023-12-01,20.23,46.75,15.95,13.5,20.42,8.14,0.49,9.39,96.5,1.62,2.29,0.63,68.0,Moderate,11.0,88.6,0.0,0.23,73.73,34.6
Southern,Sochi,2024-01-01,16.76,60.61,16.85,42.61,46.36,14.31,1.24,11.74,134.93,2.31,0.94,1.33,61.0,Moderate,6.2,83.9,0.089,1.65,75.2,34.6
Southern,Sochi,2024-02-01,18.9,45.86,10.86,18.12,18.45,5.07,0.77,13.99,60.08,2.13,2.81,0.27,65.0,Moderate,11.0,73.3,0.0,2.05,74.97,34.6
Southern,Sochi,2024-03-01,11.88,,,21.19,21.97,6.67,0.76,1.08,60.7,0.2,4.01,0.76,50.0,Good,9.9,65.1,0.174,-0.79,73.89,34.6
Southern,Sochi,2024-04-01,16.88,31.79,7.61,12.8,11.17,5.8,0.35,6.07,66.83,0.56,0.2,0.76,61.0,Moderate,14.9,65.2,0.107,-1.15,73.79,34.6
Southern,Sochi,2024-05-01,14.86,21.64,7.53,10.43,19.58,4.28,0.57,9.02,39.31,,1.74,0.11,57.0,Moderate,7.7,52.0,0.0,1.34,75.24,34.7
Southern,Sochi,2024-06-01,9.18,34.59,10.2,10.66,20.54,5.38,0.4,2.48,65.3,1.13,,0.21,38.0,Good,10.4,70.9,0.0,1.25,70.72,34.7
Southern,Sochi,2024-07-01,11.92,27.04,4.97,12.2,25.06,1.71,0.39,2.72,32.9,0.42,1.54,0.44,50.0,Good,9.8,62.7,0.018,1.67,71.66,34.6
Southern,Sochi,2024-08-01,9.49,,7.93,13.61,17.64,2.85,0.29,1.0,33.47,1.15,0.89,0.24,40.0,Good,2.5,70.6,0.098,1.03,72.64,34.7
Southern,Sochi,2024-09-01,14.06,25.19,5.72,13.12,17.29,4.68,0.56,6.32,56.41,0.39,2.7,0.85,55.0,Moderate,10.2,78.1,0.0,2.39,74.58,34.6
Southern,Sochi,2024-10-01,14.96,20.78,14.51,19.79,23.25,3.55,1.04,11.24,75.79,0.74,3.51,1.03,57.0,Moderate,11.7,86.0,0.0,0.95,70.84,34.8
Southern,Sochi,2024-11-01,29.22,30.19,13.8,,20.72,5.73,0.62,4.15,43.86,1.04,3.23,1.07,87.0,Moderate,5.7,93.6,0.146,2.18,74.64,34.7
Southern,Sochi,2024-12-01,28.61,38.37,17.02,29.66,37.28,,0.42,12.72,72.86,0.97,3.35,0.56,86.0,Moderate,13.1,89.5,0.0,-0.9,74.1,34.7
Southern,Sochi,2025-01-01,,31.31,8.02,21.95,14.81,12.11,1.0,5.13,102.06,1.48,4.54,0.78,,,3.3,95.1,0.0,3.42,73.18,34.6
Southern,Sochi,2025-02-01,31.27,57.21,20.73,30.34,45.01,8.24,1.47,15.44,64.92,1.27,5.02,1.01,91.0,Moderate,8.5,75.2,0.087,3.56,72.32,34.5
Southern,Sochi,2025-03-01,15.9,35.64,8.25,17.99,16.99,1.45,0.79,5.82,80.37,0.44,5.12,0.91,59.0,Moderate,9.5,81.6,0.0,1.61,73.8,34.6
Southern,Sochi,2025-04-01,19.27,30.03,6.16,9.39,8.41,5.23,0.72,4.89,56.26,0.32,0.63,0.21,66.0,Moderate,12.6,67.2,0.172,3.22,72.28,34.6
Southern,Sochi,2025-05-01,13.0,20.92,2.52,22.55,15.18,6.05,0.77,4.62,61.32,1.18,1.64,0.61,53.0,Moderate,9.5,53.5,0.069,-0.42,75.84,34.6
Southern,Sochi,2025-06-01,13.78,28.43,,8.84,17.15,4.5,0.58,3.67,27.85,0.73,2.52,0.51,55.0,Moderate,6.2,52.2,0.131,0.24,75.8,34.6
Southern,Sochi,2025-07-01,9.83,21.4,4.33,19.09,30.01,5.56,0.33,8.29,67.63,0.96,1.63,0.55,41.0,Good,6.5,72.9,0.0,1.64,72.13,34.7
Southern,Sochi,2025-08-01,5.72,27.96,6.22,18.62,10.44,4.3,0.38,7.25,31.83,0.2,2.99,0.64,24.0,Good,6.7,80.2,0.224,2.8,73.78,34.6
Southern,Sochi,2025-09-01,14.73,16.69,3.58,12.11,16.92,5.29,0.33,3.03,40.66,0.22,2.37,0.64,57.0,Moderate,4.3,77.6,0.0,2.13,75.59,34.6
Southern,Sochi,2025-10-01,,34.77,11.28,15.94,13.33,6.44,0.8,7.96,56.14,0.43,2.39,0.21,,,8.2,80.1,0.0,2.06,72.65,34.7
Southern,Sochi,2025-11-01,14.45,46.57,19.71,18.04,37.38,6.75,1.21,2.52,76.5,1.03,0.54,0.95,56.0,Moderate,17.0,86.7,0.0,3.8,75.46,34.6
Southern,Sochi,2025-12-01,32.69,43.39,10.71,33.41,23.85,5.34,1.1,9.71,111.31,1.25,2.39,0.18,94.0,Moderate,8.7,89.9,0.0,1.86,75.25,34.6
Southern,Taganrog,2014-01-01,20.74,34.22,8.26,36.79,23.03,8.76,1.36,5.07,110.62,2.2,3.41,0.66,69.0,Moderate,4.8,88.6,0.228,3.1,72.08,35.0
Southern,Taganrog,2014-02-01,18.03,49.66,14.91,21.25,31.26,6.61,1.3,7.96,103.62,0.75,,0.87,63.0,Moderate,5.5,79.7,0.0,0.5,72.06,35.1
Southern,Taganrog,2014-03-01,17.09,32.17,12.05,,15.99,6.56,0.63,4.13,62.02,0.37,1.21,0.29,62.0,Moderate,5.5,73.9,0.061,2.31,69.51,35.0
Southern,Taganrog,2014-04-01,12.98,28.87,9.45,14.08,15.75,3.24,0.34,4.79,57.54,1.28,1.03,0.52,53.0,Moderate,6.5,59.3,0.0,2.08,68.66,35.1
Southern,Taganrog,2014-05-01,7.45,15.48,5.97,12.88,21.19,5.44,0.34,3.63,30.1,0.57,1.32,0.13,31.0,Good,10.1,66.7,0.202,1.15,68.17,35.0
Southern,Taganrog,2014-06-01,14.29,22.22,8.26,17.5,11.45,5.22,0.79,7.14,68.26,0.82,1.94,0.78,56.0,Moderate,10.7,68.8,0.14,-3.19,71.94,35.1
Southern,Taganrog,2014-07-01,12.35,17.81,16.22,12.46,13.16,5.3,0.32,7.51,69.38,1.09,1.34,0.11,52.0,Moderate,6.9,82.9,0.144,-1.33,71.38,34.9
Southern,Taganrog,2014-08-01,13.0,23.49,10.99,14.03,22.51,5.65,,2.31,38.06,0.9,2.62,0.33,53.0,Moderate,6.5,79.1,0.031,1.53,68.01,35.0
Southern,Taganrog,2014-09-01,16.87,34.97,9.85,13.91,21.23,4.46,0.4,7.68,68.38,0.28,1.95,0.26,61.0,Moderate,8.4,70.2,0.168,-0.02,72.23,35.1
Southern,Taganrog,2014-10-01,17.92,29.41,17.19,22.1,23.33,,0.24,5.84,54.84,0.72,2.88,0.63,63.0,Moderate,10.6,74.8,0.0,2.7,72.38,35.0
Southern,Taganrog,2014-11-01,23.06,23.06,5.64,29.99,24.42,3.43,0.47,13.95,67.56,1.32,2.49,0.13,74.0,Moderate,15.2,97.8,0.0,2.91,70.91,35.2
Southern,Taganrog,2014-12-01,14.06,31.54,22.95,36.02,27.26,3.98,0.78,12.04,112.29,1.74,5.06,1.47,55.0,Moderate,13.0,84.3,0.0,0.92,68.98,35.1
Southern,Taganrog,2015-01-01,32.62,38.87,10.45,19.24,19.13,10.46,,9.47,68.82,1.98,1.69,1.01,94.0,Moderate,3.6,86.3,0.106,-1.57,68.95,34.9
Southern,Taganrog,2015-02-01,17.28,34.78,6.68,32.15,32.2,4.81,1.23,13.69,83.95,1.08,,0.25,62.0,Moderate,6.9,75.3,0.065,2.73,70.45,35.0
Southern,Taganrog,2015-03-01,22.85,28.45,9.61,13.63,21.67,2.81,0.98,11.0,77.44,0.9,1.63,0.18,74.0,Moderate,7.6,78.8,0.0,1.21,70.08,34.9
Southern,Taganrog,2015-04-01,15.29,15.91,4.66,20.87,11.1,6.06,0.64,1.64,59.16,1.12,2.19,0.16,58.0,Moderate,17.4,68.8,0.078,1.78,72.72,35.0
Southern,Taganrog,2015-05-01,15.95,25.26,8.77,15.64,14.28,6.07,0.78,2.4,55.02,1.02,2.59,0.48,59.0,Moderate,6.7,63.9,0.113,0.62,70.29,35.2
Southern,Taganrog,2015-06-01,3.09,19.89,13.2,6.97,9.82,6.04,0.37,3.11,32.6,0.4,1.86,0.75,13.0,Good,7.7,63.3,0.076,3.56,70.01,35.0
Southern,Taganrog,2015-07-01,12.85,36.38,11.71,10.47,20.5,4.51,0.79,6.98,49.07,,2.19,0.69,53.0,Moderate,6.8,65.8,0.231,1.26,70.53,35.0
Southern,Taganrog,2015-08-01,13.34,27.75,9.53,,15.5,4.94,0.41,6.11,39.92,0.5,3.42,0.36,54.0,Moderate,11.9,70.6,0.112,2.36,70.92,34.9
Southern,Taganrog,2015-09-01,5.34,19.35,5.44,14.98,19.93,2.31,0.53,5.5,70.71,0.25,3.12,0.57,22.0,Good,9.8,80.0,0.172,0.79,69.27,35.1
Southern,Taganrog,2015-10-01,15.77,32.16,15.84,22.06,30.25,3.23,1.25,6.43,74.68,0.91,1.76,0.15,59.0,Moderate,10.6,78.2,0.171,-0.07,71.89,35.0
Southern,Taganrog,2015-11-01,16.65,49.69,9.95,22.77,35.74,11.51,1.18,4.78,,1.35,4.09,1.36,61.0,Moderate,14.2,87.1,0.0,1.62,71.23,34.9
Southern,Taganrog,2015-12-01,28.46,53.33,21.04,29.24,33.82,9.59,1.0,,98.73,1.56,5.3,0.47,85.0,Moderate,11.9,80.5,0.042,2.32,69.63,35.0
Southern,Taganrog,2016-01-01,30.79,69.67,21.5,24.79,51.26,1.9,0.9,8.84,85.77,0.47,4.01,0.95,90.0,Moderate,11.6,83.8,0.035,2.84,70.93,34.9
Southern,Taganrog,2016-02-01,9.34,34.49,16.73,16.85,24.66,6.69,0.99,7.68,55.63,,3.57,0.85,39.0,Good,5.5,80.5,0.0,2.86,69.17,34.9
Southern,Taganrog,2016-03-01,20.16,22.75,13.08,13.47,19.49,6.77,0.59,7.05,49.29,0.63,,0.9,68.0,Moderate,8.0,73.1,0.045,1.77,70.28,35.0
Southern,Taganrog,2016-04-01,9.24,23.65,10.88,18.15,,4.9,,7.09,40.38,0.26,2.44,0.55,38.0,Good,14.1,68.2,0.0,1.77,71.99,34.9
Southern,Taganrog,2016-05-01,8.8,25.93,11.41,21.15,29.93,2.27,0.77,11.4,,0.95,1.71,0.37,37.0,Good,10.3,51.9,0.185,4.83,69.46,35.0
Southern,Taganrog,2016-06-01,15.71,,10.4,11.56,24.19,3.24,0.57,6.55,57.33,1.06,2.62,0.88,59.0,Moderate,12.2,71.9,0.105,-0.17,72.11,35.0
Southern,Taganrog,2016-07-01,11.65,33.66,7.16,13.08,6.13,2.16,0.24,8.34,59.89,0.29,,0.48,49.0,Good,7.7,67.3,0.033,1.03,70.47,35.1
Southern,Taganrog,2016-08-01,12.28,33.51,,17.43,25.44,3.91,0.69,9.16,,0.58,2.29,0.45,51.0,Moderate,6.1,77.1,0.126,1.53,68.4,34.9
Southern,Taganrog,2016-09-01,16.65,22.46,9.12,9.9,23.3,3.81,0.61,5.53,68.19,0.85,1.59,0.6,61.0,Moderate,8.7,72.2,0.0,2.25,71.66,35.0
Southern,Taganrog,2016-10-01,21.1,25.22,17.86,16.65,16.77,4.09,0.73,5.32,78.01,0.8,2.04,0.26,70.0,Moderate,12.5,78.1,0.115,1.47,70.61,34.9
Southern,Taganrog,2016-11-01,13.26,22.33,12.84,,,1.32,,8.03,66.91,1.65,3.98,0.63,53.0,Moderate,11.0,82.8,0.22,-0.27,68.53,35.0
Southern,Taganrog,2016-12-01,33.08,27.02,19.37,25.56,40.45,1.88,0.57,5.85,90.63,1.71,4.57,1.38,95.0,Moderate,7.0,97.9,0.0,1.14,69.5,34.9
Southern,Taganrog,2017-01-01,29.44,41.21,12.18,25.89,20.31,4.97,0.33,11.62,68.29,1.5,2.52,1.0,87.0,Moderate,10.7,83.6,0.069,0.54,70.96,34.9
Southern,Taganrog,2017-02-01,23.54,41.48,8.4,21.21,43.91,8.79,1.34,12.23,,0.29,3.21,0.49,75.0,Moderate,8.5,70.8,0.0,1.59,70.59,35.0
Southern,Taganrog,2017-03-01,20.24,31.13,3.74,14.29,18.64,3.03,0.16,5.68,58.99,0.8,4.69,0.98,68.0,Moderate,9.5,71.7,0.145,1.57,70.35,34.9
Southern,Taganrog,2017-04-01,16.72,22.19,6.75,18.06,21.93,4.4,0.72,2.63,57.58,1.04,0.31,0.72,61.0,Moderate,13.2,62.5,0.042,0.87,69.15,34.8
Southern,Taganrog,2017-05-01,9.69,23.36,8.95,16.64,16.91,2.07,0.84,4.34,39.93,0.67,2.06,0.05,40.0,Good,14.1,48.7,0.0,-2.02,72.72,34.9
Southern,Taganrog,2017-06-01,10.42,25.56,7.72,19.61,21.97,5.42,,6.21,42.63,0.24,2.09,0.25,43.0,Good,10.9,64.3,0.089,1.47,71.8,34.9
Southern,Taganrog,2017-07-01,11.95,21.8,5.85,18.09,12.79,5.53,0.6,1.88,61.23,0.96,1.53,0.77,50.0,Good,2.7,67.7,0.0,3.99,71.35,34.9
Southern,Taganrog,2017-08-01,14.4,22.6,11.34,12.72,27.42,,0.51,2.86,62.23,0.41,0.51,0.77,56.0,Moderate,8.8,68.5,0.107,1.39,70.17,34.9
Southern,Taganrog,2017-09-01,8.74,24.93,6.46,10.45,,2.04,0.86,3.22,38.04,0.66,1.56,0.01,36.0,Good,2.6,78.9,0.111,3.01,74.06,34.9
Southern,Taganrog,2017-10-01,19.38,29.62,8.91,12.82,,8.17,1.12,10.56,,0.31,1.38,0.24,66.0,Moderate,12.0,86.8,0.068,1.29,70.32,34.9
Southern,Taganrog,2017-11-01,10.48,52.3,12.73,19.68,17.77,2.77,0.95,11.34,72.61,1.63,4.11,0.61,44.0,Good,15.5,95.3,0.123,4.12,71.66,34.8
Southern,Taganrog,2017-12-01,14.85,43.68,14.05,14.84,30.63,6.28,0.8,8.65,95.84,2.1,5.83,0.01,57.0,Moderate,11.9,84.6,0.082,0.05,72.34,35.0
Southern,Taganrog,2018-01-01,21.84,43.46,14.54,39.16,32.2,5.94,1.05,5.46,87.57,1.21,4.7,0.63,71.0,Moderate,11.5,84.3,0.0,2.08,72.73,34.9
Southern,Taganrog,2018-02-01,10.37,41.62,3.72,13.81,25.47,9.12,1.25,5.25,94.29,1.93,1.43,0.84,43.0,Good,13.6,72.9,0.0,2.64,72.95,34.9
Southern,Taganrog,2018-03-01,22.65,36.97,12.2,18.16,28.11,1.32,0.98,6.19,90.24,1.63,1.56,0.63,73.0,Moderate,10.5,73.2,0.151,2.49,70.6,34.8
Southern,Taganrog,2018-04-01,11.65,,7.65,13.19,16.19,5.07,0.87,7.39,31.33,0.95,1.11,0.61,49.0,Good,17.8,58.4,0.05,0.57,71.06,34.8
Southern,Taganrog,2018-05-01,8.53,13.91,9.14,13.52,4.18,1.33,0.61,7.2,46.14,0.44,3.43,0.19,36.0,Good,9.6,57.2,0.0,1.48,73.53,34.9
Southern,Taganrog,2018-06-01,19.01,23.61,3.38,21.05,13.71,1.59,0.8,3.37,,0.16,2.61,0.1,66.0,Moderate,5.1,54.7,0.0,0.85,71.91,34.9
